## 医生信息（格式为:姓名|科室|擅长）
陈冰|甲状腺与乳腺外科|擅长甲状腺疾病的诊治及外科治疗:甲状腺良性肿瘤手术、甲状腺癌根治术、腔镜下甲状腺手术、扩大颈部淋巴结清扫术、甲状腺微波消融术等。乳腺相关疾病的临床诊治:乳腺良性肿瘤微创手术，乳腺癌的保乳及根治手术和相关治疗，乳腺重建手术等。

刘燕|营养科|擅长肥胖、消瘦患者饮食增重。

张振清|心血管内科|擅长高血压，冠心病与心律失常诊疗，心血管和肿瘤介入治疗、高血压病治疗及危重病人抢救。

张庆文|心血管内科|擅长冠心病，高血压，心律失常尤其是心血管病重症及心力衰竭的诊治工作。擅长先天性心脏病和肺动脉高压的诊治。

王桂香|心血管内科|擅长于高血压，冠心病，心律失常，尤其是心血管急危重症，心力衰竭，心脏康复的诊治工作。

戴东黎|心血管内科|擅长冠心病、高血压、心房颤动、心力衰竭等心脏疾病的诊疗及随访，对“高血压、高血糖、高血脂”三高疾病的联合规范诊疗。

任军|皮肤科|擅长美容皮肤外科治疗良恶性皮肤肿瘤，瘢痕，甲病等，擅长特应性皮炎，银屑病，白癜风，荨麻疹，带状疱疹等常见病及遗传性罕见病诊疗，擅长黑素瘤、遗传及罕见病，皮肤病理诊断。

刘晓坤|皮肤科|从事临床皮肤科工作近40年擅长儿童皮肤病、过敏性皮肤病，性传播疾病及遗传，罕见病的诊断和治疗。

林冠廷|皮肤科|擅长特应性皮炎（湿疹），痤疮（青春痘），损容性皮肤病（色斑，痘印，黄褐斑），疤痕，荨麻疹，银屑病，白癜风，毛发疾病（雄秃，斑秃），带状疱疹，血管瘤，黑色素瘤，自身免疫性水疱病（天疱疮，类天疱疮），皮肤遗传罕见病，皮肤影像诊断（皮肤镜及皮肤病理），各类皮肤良恶性肿瘤的手术及激光治疗。

田建卿|内分泌科|擅长血糖、血脂、血压、体重、甲状腺、骨代谢及妊娠期糖尿病与甲状腺疾病等诊治，糖尿病缓解治疗，糖尿病肾病逆转治疗。

张志军|内分泌科|擅长糖尿病、痛风、甲亢、多囊卵巢综合征、妊娠期甲状腺功能异常、骨质疏松症、腺垂体功能减退等常见内分泌与代谢病的诊疗。

郑维红|神经内科|擅长脑梗死和脑出血的病因追查及防治，癫痫、神经免疫病和神经肌肉病（如重症肌无力，多发性硬化等），帕金森病等神经内科疑难危重疾病的诊治；对头痛、头晕、记忆障碍、面肌抽搐、肢体麻木，物理，口眼歪斜，失眠多梦，焦虑抑郁。

张慜|神经内科|擅长神经免疫性疾病、脑血管疾病、脑补炎症、脊髓炎、帕金森病、癫痫、痴呆、三叉神经痛、坐骨神经病及重症肌无力的诊治。

吴亚东|神经内科|擅长缺血性脑血管病,全脑血管造影,急性缺血性脑血管病动脉内溶栓,取栓术,颅内外支架植入术,静脉窦血栓

王瑾|神经内科|擅长帕金森与运动障碍规范化诊断及治疗，肌张力障碍（面颈部肌张力障碍等）的肉毒素治疗

黄文琪|肝病科|擅长病毒性肝炎,脂肪肝,酒精肝,药物性肝炎,自身免疫性肝炎,肝衰竭,肝硬化,肝癌,肝性脑病,肝肾综合征,人工肝治疗,肝病微创诊疗,肝纤维化评估,黄疸鉴别诊断,不明原因肝功能损害。

吴晓鹭|肝病科|擅长各种疑难重症肝病的治疗，擅长慢性乙型肝炎临床治愈。

金文|肝病科|擅长各种感染性疾病、急慢性病毒性肝炎、药物性肝炎、脂肪肝、肝硬化、肝衰竭等疾病诊断及治疗。

吴卫兵|肝病科|擅长各类急慢性病毒性肝炎，脂肪肝，酒精性肝炎，肝硬化机及其并发症，肝衰竭，肝癌的相关疾病抢救。

陈达红|妇科肿瘤科|擅长妇科肿瘤, 卵巢癌, 宫颈癌, 子宫内膜癌, 子宫内膜异位症, 子宫腺肌症, 子宫肌瘤, 卵巢良性肿瘤。

侯进琳|妇科肿瘤科|擅长单孔腹腔镜子宫肌瘤剔除术/单孔腹腔镜盆腔巨大肿物剥除术，子宫内膜异位症全生命周期管理，擅长盆底障碍性疾病的诊治。如子宫脱垂，压力性尿失禁，阴道松弛，外阴整形。

张晓岚|新生儿科|擅长早产儿系统管理，危重新生儿救治，儿童健康管理、儿科常见疾病诊治。

黄文钦|新生儿科|擅长儿科及新生儿科常见疾病的诊治；擅长中西医结合治疗儿科常见疾病。

吴雪芳|妇科|擅长计划生育手术,高危流产,女性生殖健康,生殖内分泌调节,月经失调,闭经,不孕,多囊卵巢综合征,复发性流产,更年期干预,压力性尿失禁,剖宫产瘢痕,外阴白斑,阴道壁脱垂,阴道癌前病变，阴道壁脱垂
阴道松弛。

